# sheet: 국가코드목록
국가코드    국가명
573    터크스 카이코스군도
680    토고
770    토켈라우
755    통가
365    투르크메니스탄
762    투발루
681    튀니지
275    튀르키예(구 터키)
572    트리니다드토바고
557    파나마
558    파라과이
160    파키스탄
732    파푸아뉴기니
730    팔라우
248    팔레스타인
781    페로군도
560    페루
352    포르투갈
528    포클랜드군도
351    폴란드
562    푸에르토리코
321    프랑스
709    프랑스령 극남군도
529    프랑스령 기아나
13    프랑스령 생마르탱
711    프랑스령 폴리네시아
702    피지
769    피트케안군도
320    핀란드
165    필리핀
712    허드섬
328    헝가리
701    호주
130    홍콩
# sheet: 업종대분류코드목록
대분류코드    분류명
24    1차 금속 제조업
32    가구 제조업
15    가죽, 가방 및 신발 제조업
95    개인 및 소비용품 수리업
72    건축기술, 엔지니어링 및 기타 과학기술 서비스업
22    고무 및 플라스틱제품 제조업
84    공공행정, 국방 및 사회보장 행정
8    광업 지원 서비스업
85    교육 서비스업
99    국제 및 외국기관
6    금속 광업
25    금속가공제품 제조업; 기계 및 가구 제외
66    금융 및 보험 관련 서비스업
64    금융업
96    기타 개인 서비스업
29    기타 기계 및 장비 제조업
31    기타 운송장비 제조업
73    기타 전문, 과학 및 기술 서비스업
33    기타 제품 제조업
1    농업
12    담배 제조업
46    도매 및 상품 중개업
16    목재 및 나무제품 제조업; 가구 제외
60    방송업
86    보건업
68    부동산업
23    비금속 광물제품 제조업
7    비금속광물 광업; 연료용 제외
74    사업시설 관리 및 조경 서비스업
75    사업지원 서비스업
34    산업용 기계 및 장비 수리업
5    석탄, 원유 및 천연가스 광업
13    섬유제품 제조업; 의복제외
47    소매업; 자동차 제외
36    수도업
50    수상 운송업
55    숙박업
91    스포츠 및 오락관련 서비스업
10    식료품 제조업
3    어업
70    연구개발업
59    영상ㆍ오디오 기록물 제작 및 배급업
61    우편 및 통신업
49    육상운송 및 파이프라인 운송업
11    음료 제조업
56    음식점 및 주점업
27    의료, 정밀, 광학기기 및 시계 제조업
21    의료용 물질 및 의약품 제조업
14    의복, 의복 액세서리 및 모피제품 제조업
18    인쇄 및 기록매체 복제업
76    임대업; 부동산 제외
45    자동차 및 부품 판매업
30    자동차 및 트레일러 제조업
35    전기, 가스, 증기 및 공기조절 공급업
28    전기장비 제조업
71    전문 서비스업
42    전문직별 공사업
26    전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업
63    정보서비스업
41    종합 건설업
52    창고 및 운송관련 서비스업
58    출판업
62    컴퓨터 프로그래밍, 시스템 통합 및 관리업
19    코크스, 연탄 및 석유정제품 제조업
17    펄프, 종이 및 종이제품 제조업
38    폐기물 수집, 운반, 처리 및 원료 재생업
37    하수, 폐수 및 분뇨 처리업
51    항공 운송업
94    협회 및 단체
20    화학물질 및 화학제품 제조업; 의약품 제외
39    환경 정화 및 복원업
# sheet: 업종중분류코드
업종 대분류코드    업종 중분류코드    업종 중분류명
01    01110    곡물 및 기타 식량작물 재배업
01    01121    채소작물 재배업
01    01122    화훼작물 재배업
01    01123    종자 및 묘목 생산업
01    01131    과실작물 재배업
01    01140    기타 작물 재배업
01    01151    채소, 화훼 및 과실작물 시설 재배업
01    01152    채소, 화훼 및 과실작물 시설 재배업
01    01211    젖소 사육업
01    01220    양돈업
01    01231    양계업
01    01239    기타 가금류 및 조류 사육업
01    01291    말 및 양 사육업
01    01300    작물재배 및 축산 복합농업
01    01411    작물재배 지원 서비스업
01    01412    농산물 건조, 선별 및 기타 수확 후 서비스업
03    03112    연근해 어업
03    03211    해수면 양식 어업
03    03212    내수면 양식 어업
05    05100    석탄 광업
05    05200    원유 및 천연가스 채굴업
06    06100    철 광업
06    06200    비철금속 광업
07    07110    석회석 및 점토 광업
07    07121    건설용 석재 채굴 및 쇄석 생산업
07    07122    모래 및 자갈 채취업
07    07210    화학용 및 비료원료용 광물 광업
07    07290    그 외 기타 비금속광물 광업
08    08000    광업 지원 서비스업
10    10112    가금류 도축업
10    10121    가금류 가공 및 저장 처리업
10    10122    육류 포장육 및 냉동육 가공업 (가금류 제외)
10    10129    육류 기타 가공 및 저장처리업 (가금류 제외)
10    10211    수산동물 훈제, 조리 및 유사 조제식품 제조업
10    10213    수산동물 냉동품 제조업
10    10219    기타 수산동물 가공 및 저장 처리업
10    10220    수산식물 가공 및 저장 처리업
10    10302    과실 및 그 외 채소 절임식품 제조업
10    10309    기타 과실ㆍ채소 가공 및 저장 처리업
10    10401    동물성 유지 제조업
10    10402    식물성 유지 제조업
10    10403    식용 정제유 및 가공유 제조업
10    10411    동물성 유지 제조업
10    10412    식물성 유지 제조업
10    10413    식용 정제유 및 가공유 제조업
10    10421    액상시유 및 기타 낙농제품 제조업
10    10422    아이스크림 및 기타 식용빙과류 제조업
10    10501    액상시유 및 기타 낙농제품 제조업
10    10502    아이스크림 및 기타 식용빙과류 제조업
10    10511    곡물 도정업
10    10512    곡물 제분업
10    10519    기타 곡물 가공품 제조업
10    10520    전분제품 및 당류 제조업
10    10602    빵류 제조업
10    10603    과자류 및 코코아 제품 제조업
10    10611    곡물 도정업
10    10612    곡물 제분업
10    10619    기타 곡물 가공품 제조업
10    10620    전분제품 및 당류 제조업
10    10709    기타 식사용 가공처리 조리식품 제조업
10    10712    빵류 제조업
10    10713    과자류 및 코코아 제품 제조업
10    10730    면류, 마카로니 및 유사식품 제조업
10    10741    식초, 발효 및 화학 조미료 제조업
10    10742    천연 및 혼합조제 조미료 제조업
10    10749    기타 식품 첨가물 제조업
10    10759    기타 식사용 가공처리 조리식품 제조업
10    10791    커피 가공업
10    10792    차류 가공업
10    10793    수프 및 균질화식품 제조업
10    10794    두부 및 유사식품 제조업
10    10797    건강기능식품 제조업
10    10799    그 외 기타 식료품 제조업
10    10801    배합 사료 제조업
10    10802    단미 사료 및 기타 사료 제조업
10    10820    면류, 마카로니 및 유사식품 제조업
10    10831    식초, 발효 및 화학 조미료 제조업
10    10832    천연 및 혼합조제 조미료 제조업
10    10839    기타 식품 첨가물 제조업
10    10891    커피 가공업
10    10892    차류 가공업
10    10893    수프 및 균질화식품 제조업
10    10894    두부 및 유사식품 제조업
10    10897    건강기능식품 제조업
10    10899    그 외 기타 식료품 제조업
10    10902    배합 사료 제조업
10    10903    단미 사료 및 기타 사료 제조업
11    11121    주정 제조업
11    11129    기타 증류주 및 합성주 제조업
11    11202    생수 생산업
11    11209    기타 비알코올 음료 제조업
12    12000    담배 제조업
13    13101    면 방적업
13    13102    모 방적업
13    13103    화학섬유 방적업
13    13104    연사 및 가공사 제조업
13    13109    기타 방적업
13    13211    면직물 직조업
13    13212    모직물 직조업
13    13213    화학섬유직물 직조업
13    13219    특수 직물 및 기타 직물 직조업
13    13221    침구 및 관련제품 제조업
13    13222    자수제품 및 자수용재료 제조업
13    13223    커튼 및 유사제품 제조업
13    13224    천막, 텐트 및 유사 제품 제조업
13    13229    기타 직물제품 제조업
13    13300    편조원단 제조업
13    13401    솜 및 실 염색가공업
13    13402    직물, 편조원단 및 의복류 염색 가공업
13    13403    날염 가공업
13    13409    섬유제품 기타 정리 및 마무리 가공업
13    13910    카펫, 마루덮개 및 유사제품 제조업
13    13921    끈 및 로프 제조업
